address,level,
0xbeb0d68b57090cf07e9f69a53cc76bbc5c5adc97,high,",('0xbeb0d68b57090cf07e9f69a53cc76bbc5c5adc97','high')"
0x33f3cc21087aa97305ad2d126ace78a325bd4cda,high,",('0x33f3cc21087aa97305ad2d126ace78a325bd4cda','high')"
0xaec97d4635a95da4967cb53685321bae9055a91c,high,",('0xaec97d4635a95da4967cb53685321bae9055a91c','high')"
0x6100e3cdfdc9d399c529a6f83f67e9eab2a1aa5f,high,",('0x6100e3cdfdc9d399c529a6f83f67e9eab2a1aa5f','high')"
0xc6ac9c9541fd9347d077195492de92bbf1f3ffb4,high,",('0xc6ac9c9541fd9347d077195492de92bbf1f3ffb4','high')"
0x7435b8ebe6d4a5185277f1a4e70f6031cbde670f,high,",('0x7435b8ebe6d4a5185277f1a4e70f6031cbde670f','high')"
0xba40fdce75edbefa122af60eb54a92bef6a09d3d,high,",('0xba40fdce75edbefa122af60eb54a92bef6a09d3d','high')"
0x35e97cb6ff4e046fc27185a8977ee375ca4e749c,high,",('0x35e97cb6ff4e046fc27185a8977ee375ca4e749c','high')"
0xfd9e8c5a3b5f3564d11e158f348e6cab3b4e7bb9,high,",('0xfd9e8c5a3b5f3564d11e158f348e6cab3b4e7bb9','high')"
0x38fadb310be83e498aa567abcf4867220416801c,high,",('0x38fadb310be83e498aa567abcf4867220416801c','high')"
0x053dd78729f77d0242be16f86d9dca27a99ccf0b,high,",('0x053dd78729f77d0242be16f86d9dca27a99ccf0b','high')"
0x263cf481dc1f8ab7fd42ee75ea65cc904c225d2e,high,",('0x263cf481dc1f8ab7fd42ee75ea65cc904c225d2e','high')"
0x13a024ce7c7a76e41741ea7620a7f3e3fa56bc21,high,",('0x13a024ce7c7a76e41741ea7620a7f3e3fa56bc21','high')"
0x81261f465051ba69598ad7bcccd284501600f709,high,",('0x81261f465051ba69598ad7bcccd284501600f709','high')"
0x590ba5e8abd3f7a756b8805c0e38baf4069ed0dd,high,",('0x590ba5e8abd3f7a756b8805c0e38baf4069ed0dd','high')"
0x158c7e989d9959ea51c790e6e8526fd01bcf35bc,high,",('0x158c7e989d9959ea51c790e6e8526fd01bcf35bc','high')"
0xa9438c8a8d481fb57a9a3f6da7f6c45e34b0fc5a,high,",('0xa9438c8a8d481fb57a9a3f6da7f6c45e34b0fc5a','high')"
0x92425f479578fd6be8947e1af33f843c2e4b39b3,high,",('0x92425f479578fd6be8947e1af33f843c2e4b39b3','high')"
0x72f7b9febe3e647374c7bf910837ab70e2b2644d,high,",('0x72f7b9febe3e647374c7bf910837ab70e2b2644d','high')"
0xbab177a052040abd2fc4fd0dea6b330a446c09fa,high,",('0xbab177a052040abd2fc4fd0dea6b330a446c09fa','high')"
0x0d9494732ae5997c46b177a2165926691bd6b930,high,",('0x0d9494732ae5997c46b177a2165926691bd6b930','high')"
0x23e1c0d2f8b7079f5e2766d79a66a7b9cdc2ea1d,high,",('0x23e1c0d2f8b7079f5e2766d79a66a7b9cdc2ea1d','high')"
0xbf5960b472667989e0179097af02987a729abcc4,high,",('0xbf5960b472667989e0179097af02987a729abcc4','high')"
0x43bf63f04bd5165f46e0c3c65382e221e8193ec6,high,",('0x43bf63f04bd5165f46e0c3c65382e221e8193ec6','high')"
0x75f252b97d78ae5307cb778d135ba84c00268c2f,high,",('0x75f252b97d78ae5307cb778d135ba84c00268c2f','high')"
0x45cd7a4da710c5faac1f385ae1d60ebb417a9604,high,",('0x45cd7a4da710c5faac1f385ae1d60ebb417a9604','high')"
0xc532dde7683228457c420c685cd7920e0341b50f,high,",('0xc532dde7683228457c420c685cd7920e0341b50f','high')"
0xfb321315c7fb857a46f90c145f955257752847ee,high,",('0xfb321315c7fb857a46f90c145f955257752847ee','high')"
0x90ca0a0e9c08a6a81183788c3b669dd7bd3910d7,high,",('0x90ca0a0e9c08a6a81183788c3b669dd7bd3910d7','high')"
0xee2a1fe3d9ec9c77f1bac3d81c3870677cfb719a,high,",('0xee2a1fe3d9ec9c77f1bac3d81c3870677cfb719a','high')"
0xc20498dfe8d9bdc7e6665ad605c776b7b217cd9b,high,",('0xc20498dfe8d9bdc7e6665ad605c776b7b217cd9b','high')"
0xea04cfbe74e4982e7d27f3620296256f2dd94ae4,high,",('0xea04cfbe74e4982e7d27f3620296256f2dd94ae4','high')"
0x587561648d1c0192413542c963f829d886d54ca1,high,",('0x587561648d1c0192413542c963f829d886d54ca1','high')"
0x7ec4a85f96ec0683d1a426c41b5eed04e5e242e1,high,",('0x7ec4a85f96ec0683d1a426c41b5eed04e5e242e1','high')"
0x5a5b33f16cecaa884a661cc6f5d20fc7ed32ef83,high,",('0x5a5b33f16cecaa884a661cc6f5d20fc7ed32ef83','high')"
0xa55cab0128caa327fca2aed59bbbab0b771bcfcc,high,",('0xa55cab0128caa327fca2aed59bbbab0b771bcfcc','high')"
0x35581d43a32f1f56576ccf6a5026ded8b50406a4,high,",('0x35581d43a32f1f56576ccf6a5026ded8b50406a4','high')"
0x81806189f9d9c4dd9db3146468a5ed9bb550c7c5,high,",('0x81806189f9d9c4dd9db3146468a5ed9bb550c7c5','high')"
0xc0917d3b83868a038465111b4f25b70af37affe4,high,",('0xc0917d3b83868a038465111b4f25b70af37affe4','high')"
0x0e079fcdb52d086af26127669cafc5f53189c888,high,",('0x0e079fcdb52d086af26127669cafc5f53189c888','high')"
0x5a57fbae97c9044ea226107a86b9a687f2dd635e,high,",('0x5a57fbae97c9044ea226107a86b9a687f2dd635e','high')"
0x3ba312d751874004036db73145ca9ccbb1a84824,high,",('0x3ba312d751874004036db73145ca9ccbb1a84824','high')"
0xd50e5209ccddaa8ef02b1d45ae0cff5001093bee,high,",('0xd50e5209ccddaa8ef02b1d45ae0cff5001093bee','high')"
0xc8167d52f139aa597d43df26e55198d208e7a77f,high,",('0xc8167d52f139aa597d43df26e55198d208e7a77f','high')"
0xfcdb564c33bfc7eda3234680efd76bd68f297920,high,",('0xfcdb564c33bfc7eda3234680efd76bd68f297920','high')"
0x9be697c88693e67cc0daa4ccebaa2a4a5b4a1550,high,",('0x9be697c88693e67cc0daa4ccebaa2a4a5b4a1550','high')"
0xebd2c801339ec50b2e2cae4e0005604a9991f6c4,high,",('0xebd2c801339ec50b2e2cae4e0005604a9991f6c4','high')"
0x7f41b4315885ab8c6c7100628dcf7ca842d77824,high,",('0x7f41b4315885ab8c6c7100628dcf7ca842d77824','high')"
0x409df881d7d15350cded7f0db056372b6381b39f,high,",('0x409df881d7d15350cded7f0db056372b6381b39f','high')"
0xbae4d296732c271f3d98a975752026dd9629a568,high,",('0xbae4d296732c271f3d98a975752026dd9629a568','high')"
0x086c8eb60313aa0430cbd9da57a722652c3053c9,high,",('0x086c8eb60313aa0430cbd9da57a722652c3053c9','high')"
0xf919c711489fb1f9a4b92521d39355c976010e50,high,",('0xf919c711489fb1f9a4b92521d39355c976010e50','high')"
