address,all_rule_score,level
0xaef4e645dfa798d4d4464403d132ee75e2aff085,11,high
0xe647b9cbc650450d1a88d47bd59ccc8ec50117d0,11,high
0x699f130fe5ce7da8259f48aa17ee451c5b7a3a7b,11,high
0x09a87d4f3ecc7eb40ca7e3bd2357e74bf3b94977,11,high
0x035e8a0a57f24fd10d447c6ce44524513dd6e09c,11,high
0xcdea7c3f9d91d355d10e0cf11cbd34c73f33f857,11,high
0x523892de0f71fdad1d70f71f5fea0e2d0d468582,11,high
0xa956ac1bf03fd5c128c1b317d3d733684368e086,11,high
0x056b73b9ec058e32e7c2db79745f32c14c45317c,11,high
0x349584c17575635c57e0f799c7a87c867a60b8e6,11,high
0x1a4fdb3df2eb423e3876746b2af0b84c43a12871,11,high
0x9cead5773f576e9ae649251339b5f71c21edee3c,11,high
0x70b5cd253d4fbafda611d1df7b23c4a044601f98,11,high
0x6d0c0428c547d635ed2524e18a783c26db786ace,10,high
0xeb26131c41cdb01c8f5539f62bef75b8b7a57ee0,10,high
0x699cf1289f67497cc2c976af1a2a155c5f94b215,10,high
0x11cef2922019c399288a4669d147bf1ce54cf3c7,10,high
0x612c97c0651f1ab92c5855257fecd02293503fe9,10,high
0x63c658db8f3fba986c54ad10baee1f3483f27516,10,high
0x4c6af74b9067e8758501ad17b40c66e7b4b9839c,10,high
0x920b79ae09cb8486d395d66c560b91526de503dd,10,high
0x7757e642c3aa6c8de36a2df5944f29b0bada817d,10,high
0x329b45eb9a2161bcb86041c9765533d76b147b25,10,high
0xb733f0452fd32e798d98895a76a703d608c62659,10,high
0x10721ccfa1062675955ae89fa12356811fb4dc8c,10,high
0x65c69fd8449711a7a90510eaf67c9fee5c33e0f3,10,high
0x8dd578e6199ed58e688e81b63b3f5e0ef7f2113d,10,high
0xfe5e9856223e5344094ba292819e9f1755f43412,10,high
0x686ec32c61ae7d3ff16e26403ebea633274cdfb9,10,high
0x20b6af02da5dfc16fdba414435e59d668443ec45,10,high
0x6afbb755a0b773ecb5852155aac28d7127f60ad3,10,high
0x060c8b16a4c4185da1208eeb423983686ada27b0,10,high
0x31d7d8bd0d950d771992cbfe7ac01894e2e12577,10,high
0x1f0ab5eeac240e0b10ba0d20be5bffe2d0350ca6,10,high
0xeded6329942c2aa7e377d53cb4f3947f4043690d,10,high
0x7ab1eec75aa7e16915d5b831c7fca9bdbd7e50e1,10,high
0x63788c94c6179a043d10dd491cb4a498a88b46d8,10,high
0xe754d8f2e69e64e32babdbf1e8a99a7be56a986e,10,high
0x42c4885ddcba287431de7b85a1072b1984d13786,10,high
0x1f78d09822effb2ee873853f1c2fb77892131254,10,high
0x68c89e1607211c31932b35b33cd0e0eb081d52a4,10,high
0x66d13d86a066fbbb9ab164087f1af0e2ae0b9d77,10,high
0x4c868c351b43fb1d52227dfffca6ed316a63d75d,10,high
0xf6b980c7f7360dc0bf7460ee0762c717bbbb86ec,10,high
0xd38376d5e758d65470441921d1e1f66e2c1e32dd,10,high
0xf334916eaba7ddd00d2fe8f9b602b7b50b7f5e44,10,high
0xc36ace61e27e8448804d1fee49f50753fb9b1e87,10,high
0x46972f7a0247a23f88be0294dbc767bcec61dccf,10,high
0x3eb550db2bc7a3dfedb4b4ba1b9a3dbb4e38ef85,10,high
0x2f3e382426e159448a35641068dec62e84e04069,10,high
0x177f3a71d259c66441e31eb226ead14c6ddd3a77,10,high
0x1dc1994f907dfef4ba94c316b52f22ddbdedda27,10,high
0x8c1655b48636231d4145d4fe998c101a067df551,10,high
0x0e0e131c6420ded87d4724595119753347584940,10,high
0x16697647a512c12a1c1dc13ef5808541ad7e43ca,10,high
0x61bc3dccdc5d47b7188c1f009e4cf392f76e0885,10,high
0x03d679a3c74a2c705407008befa12d22d21161d4,10,high
0xeb85a07ac33ddfa240fad32600ed8a998ab56f82,10,high
0x6ad1729a2070f74df93e39296ef838b1b054f668,10,high
0x8fa5cb64405d76ac9cf594c857e58f3272145a47,10,high
0x6564a994fe469fc4047fdaf40c422f9d7a2e2070,10,high
0xfb40932271fc9db9dbf048e80697e2da4aa57250,10,high
0xcf9572ef23a0e343b93464a875aca54ea095ec55,10,high
0x8ee3fbdbbe2c01bd80be0077ecb1cb4a47748aee,10,high
0x545a0ec739b14cc6a2c7a2871fdd6a1c9f3ed3e4,10,high
0x5c87d2486f4efa3ee2cda8cfc140a4a04de7c5fe,10,high
0xfe2cc075a33c24c163b46d96b112399502647d3e,10,high
0x35dae3eef64e623f8ce679ccef1f1aadf80251e6,10,high
0x21f726927d19fc332919800004442d95411e6b33,10,high
0xc8609af221dc552173d3c1d8f45156080feca8c6,10,high
0x06b58a6711983515181262fd0d943f73fcb767d3,10,high
0x4a3fe89db8ed512a1933263df1abbcdc86226379,10,high
0x670cb228f1aa5b5402ce19978e83416296f7e418,10,high
0xb400dc972b08fb728cfc7373386e9d5f1125957a,10,high
0x38824d4f8d54b59e951c533c172dc11cc7c1bd97,10,high
0xf4d84adfaf358270ad0e92ad4a9a4cf2ca41ab71,10,high
0x44f7ba612a1d28aab1375173616591045021eddb,10,high
0x0e04898b24c68f22866ec1c4839335052989c88a,10,high
0x6573c22bcad992cc211cd974e0b33bf0dab3bdf0,10,high
0xa84f02ee77d387bbf19c8c830ae9d03e6441a250,10,high
0xd9ea00a425fc84da2f1cb5b9c2fa62a0db5ee8b9,10,high
0x4f64a42bfe485177de552560e64422780d5d8249,10,high
0xdb6cf23f961042c02bea381663408e277e7bf2bb,10,high
0x7097e471aa66b04542ec47af97bbb7c4673b7bb7,10,high
0x5490e3e0260df9331444501e9911140120939816,9,high
0x3a9aa13233fe92f8692e6326b0f3a6d2b4d34ae1,9,high
0x8d81e62c916b572b5af8f5f1433a2e4e9d39292d,9,high
0xa74fc85f9db4e772b494bd478093f297fb333a54,9,high
0xeb2b9ac47fe3518fb6cd4c003c719d36a7f02d56,9,high
0x1adbfb6381bcafc598b83f8041a72ab9a5882ed2,9,high
0x1d78c74ce182558d91c97dd115bf37c59e401f4b,9,high
0xe73a198e7c07c418d7dcfd42f5e953074abbd125,9,high
0xf4918f94a7399a2fd008c860b098133d3c925b6a,9,high
0x33e8d42bce90e279c253b0203038c390a3c3dda3,9,high
0xbe282f968a4e7223498238bcf99df6e8ef434c46,9,high
